State,Average_Baseline_Square_Diff,Average_Model_Square_Diff,Percentage_Improvement
Alabama,5.283774813596937,3.986028561078424,24.560968214977173
Alaska,129.2937673297513,1.8598036481671272,98.56156743934618
Arizona,2.3624235299451386,0.6745013358587229,71.44875475083055
Arkansas,10.711667618666194,8.188550055611143,23.55485301521358
California,0.3782218680852542,0.6406977055062922,-69.39731929034677
Colorado,0.8692541209281707,1.3992137446417892,-60.967168398090436
Connecticut,2.1211702822389826,2.386578433289353,-12.512345344109812
Florida,0.6931620578993833,0.7363384408901746,-6.228901668628062
Georgia,1.4789398297433114,1.143143691357522,22.705192708487075
Idaho,6.657421382018239,2.052843303501316,69.16458812347275
Illinois,1.2395196564023405,0.9460516722795851,23.675944355294476
Indiana,7.721953183137938,4.264935968733137,44.76868911810713
Iowa,0.6871593021989352,0.2639727161447106,61.584931572637075
Kansas,0.19739645194566552,1.6313543223496914,-726.4354836523256
Kentucky,1.2343011092065623,0.37275380278416465,69.80041579774813
Louisiana,0.35874210853881416,0.8330288576013836,-132.20827379154846
Maine,1.4916476472696585,2.399476387380013,-60.86080327160789
Maryland,0.022746069765194252,0.05947625799735591,-161.47927361220763
Massachusetts,1.0280858307882967,0.47338860287626244,53.95436949916077
Michigan,0.8189414866249345,1.2483343805572324,-52.432670825108026
Minnesota,0.8876148176896147,1.3601350697490209,-53.23483144291529
Mississippi,4.183618790972287,2.8267407602438848,32.43311827684614
Missouri,2.6270159466149714,2.5718248418662006,2.100904823965267
Montana,171.19756841915586,135.82618178139705,20.661150134537184
Nebraska,1.4094067219319673,0.11514846810959872,91.83000433318801
Nevada,2.0533675612377595,0.5935450063212,71.09406919999194
New Jersey,0.5876281004071682,0.416318946905076,29.152648313345104
New Mexico,1.5562673514002061,4.09906560720076,-163.39083728208692
New York,0.47419638107566997,0.3501662142429577,26.15586532975252
North Carolina,1.3750405766608782,1.0031789038621057,27.043687227164895
North Dakota,14.89387344395923,22.880688610577646,-53.62483571966814
Ohio,1.780788440748273,0.746111427474358,58.10218606535609
Oklahoma,3.876361333422473,1.0366129658302579,73.25809240504874
Oregon,1.6875883367216606,5.094902884263961,-201.9043669240693
Pennsylvania,1.7872565229205595,1.9181443616715794,-7.323394099977091
South Carolina,0.08401762658887746,1.2835488234009695,-1427.713737596689
South Dakota,36.25698763662582,18.460521073134885,49.08423926954547
Tennessee,0.9445135384276085,1.3718077103809305,-45.239602670456755
Texas,0.129811829201531,0.0766903071532353,40.92194245705089
Utah,5.227639686152351,3.430506549201342,34.3775249413514
Virginia,1.261294063209157,0.5007507350728089,60.298652813862425
Washington,1.1474448190734041,0.5444110251336954,52.55449185144053
West Virginia,12.092166091997111,3.694057283443604,69.4508224966541
Wisconsin,2.7725039056549043,2.6763209214033363,3.4691739858468567
