Category: All categories

Region,bipolar: (2018)
Oregon,100
West Virginia,99
Kentucky,97
New Hampshire,96
Maine,96
Massachusetts,93
Pennsylvania,93
Rhode Island,92
Connecticut,92
New York,90
Ohio,89
South Dakota,89
Indiana,89
Maryland,88
Alabama,88
Vermont,88
Idaho,87
Washington,87
Louisiana,87
Colorado,86
Mississippi,86
North Carolina,86
Alaska,86
Delaware,86
Michigan,86
Virginia,85
Arkansas,85
Illinois,85
Wisconsin,84
Arizona,84
Tennessee,84
Florida,84
New Mexico,83
New Jersey,83
Missouri,83
California,83
Minnesota,82
Montana,82
North Dakota,81
Georgia,78
Oklahoma,77
Texas,77
Wyoming,77
South Carolina,76
Nebraska,76
Kansas,75
Iowa,75
District of Columbia,72
Hawaii,71
Utah,70
Nevada,68
