Category: All categories

Region,hospital visit: (2020)
Vermont,
Rhode Island,100
West Virginia,81
Missouri,76
Pennsylvania,74
Connecticut,74
New Jersey,72
Kentucky,72
Massachusetts,69
Arizona,69
Michigan,67
Tennessee,67
New Hampshire,67
New York,67
Ohio,65
District of Columbia,
Illinois,65
Maryland,62
Nevada,62
Florida,60
Virginia,60
Delaware,
South Carolina,60
Washington,60
Oklahoma,58
Georgia,58
North Carolina,58
Indiana,58
Wyoming,
New Mexico,58
Arkansas,58
South Dakota,
North Dakota,
Alabama,55
Utah,55
Minnesota,55
California,55
Wisconsin,53
Idaho,
Colorado,53
Texas,53
Louisiana,51
Oregon,46
Kansas,46
Hawaii,
Maine,
Nebraska,41
Alaska,
Iowa,39
Mississippi,39
Montana,
